County,Republican Party of Florida,Florida Democratic Party,Minor Party,No Party Affiliation,Totals
ALACHUA,43605,72850,3421,34411,154287
BAKER,11804,3745,288,2345,18182
BAY,68697,25507,3272,27383,124859
BRADFORD,10237,4490,269,2682,17678
BREVARD,188364,113856,12386,106416,421022
BROWARD,246119,505525,21908,316506,1090058
CALHOUN,4086,2889,62,931,7968
CHARLOTTE,75012,32172,4513,37578,149275
CITRUS,64325,22616,2933,24582,114456
CLAY,82258,29785,3664,30693,146400
COLLIER,135504,53634,5253,61650,256041
COLUMBIA,21891,10085,825,6477,39278
DESOTO,8274,5789,286,4622,18971
DIXIE,6370,2332,171,1686,10559
DUVAL,227792,248341,15840,146309,638282
ESCAMBIA,100337,68964,5374,48774,223449
FLAGLER,43898,23635,2319,21441,91293
FRANKLIN,3353,2120,190,941,6604
GADSDEN,5255,17932,320,2735,26242
GILCHRIST,8274,2097,238,1884,12493
GLADES,3844,1898,160,1375,7277
GULF,6270,2613,274,1479,10636
HAMILTON,3239,2554,119,907,6819
HARDEE,6553,3183,181,2635,12552
HENDRY,8025,5509,316,3269,17119
HERNANDO,65331,33955,3957,33737,136980
HIGHLANDS,33262,15234,1426,13965,63887
HILLSBOROUGH,275217,289903,19846,231978,816944
HOLMES,7964,2040,180,1521,11705
INDIAN RIVER,57599,28025,3303,26636,115563
JACKSON,13880,8782,319,2614,25595
JEFFERSON,4173,4116,102,1165,9556
LAFAYETTE,3081,699,51,269,4100
LAKE,109604,57930,5618,55348,228500
LEE,220959,109718,11104,129447,471228
LEON,53857,99219,3944,39351,196371
LEVY,16411,6464,740,4262,27877
LIBERTY,2058,1891,15,467,4431
MADISON,4850,5243,104,1477,11674
MANATEE,124682,70250,6542,64479,265953
MARION,124158,67866,6028,52589,250641
MARTIN,60045,25842,3311,26177,115375
MIAMI-DADE,432979,515539,25860,463481,1437859
MONROE,23394,14956,1437,12054,51841
NASSAU,43614,12974,2122,14129,72839
OKALOOSA,81451,24626,3892,33364,143333
OKEECHOBEE,11020,4555,467,3330,19372
ORANGE,209191,322893,19464,244512,796060
OSCEOLA,57871,82000,4748,75767,220386
PALM BEACH,266870,326199,23631,238494,855194
PASCO,162615,99805,10423,102648,375491
PINELLAS,232791,204362,15463,164664,617280
POLK,173629,132604,10901,115926,433060
PUTNAM,22932,11409,831,7252,42424
SANTA ROSA,82288,20924,3651,26928,133791
SARASOTA,148288,88112,7628,78361,322389
SEMINOLE,117034,111743,8872,103699,341348
ST. JOHNS,117199,47134,4952,47209,216494
ST. LUCIE,81978,80636,6261,58715,227590
SUMTER,70672,24878,2048,25107,122705
SUWANNEE,15468,5876,520,3839,25703
TAYLOR,6315,2596,135,910,9956
UNION,4747,2051,126,787,7711
VOLUSIUM,160686,117194,10776,115846,404502
WAKULLA,11832,6333,522,3907,22594
WALTON,36409,7758,1472,10173,55812
WASHINGTON,10058,3692,233,2512,16495
TOTALS,5141848,4362147,317607,3528807,13350409
